estado,id_tienda,ciudad,codigo_postal,direccion,latitud,longitud,no_tienda,nombre
DIF,81,Ciudad de Mexico,6760,"Monterrey n.330, Col., Roma Sur District",19.41,-99.16,20396-205105,Roma Sur
DIF,82,Ciudad de Mexico,,"Lago Alberto esquina Mariano Escobedo, Mariano Escobedo",19.3,-99.02,27838-248909,Punto Polanco
DIF,83,Ciudad de Mexico,3100,"Av. Félix Cuevas n.274, Col. Del Valle",19.37,-99.17,20449-205548,SPA
DIF,84,Ciudad de Mexico,6600,"Av Paseo de la Reforma 510, Colonia Juarez",19.42,-99.17,26552-244509,Corporativo BBVA Bancomer Reforma
DIF,85,Ciudad de Mexico,3200,"Manzanas n. 40 Col Del Valle, Del. Benito Juarez",19.37,-99.18,20395-205053,SPA
DIF,86,Ciudad de Mexico,14050,Tlalpan 4731 Col. Toriello Guerra,19.29,-99.16,24878-224826,Tlalpan Hospitales
DIF,87,Ciudad de Mexico,,Aeropuerto Intenacional de la Cd. Mex,22.3,-97.88,27199-246913,AICM T1 S21 and 22
DIF,88,Ciudad de Mexico,3020,"Av. Cuauhtemoc 462, Col. Narvarte, Del. Benito Juarez",19.4,-99.16,49944-271824,PARQUE DELTA III
DIF,89,Ciudad de Mexico,9890,"Av. Tlahuac #4409, Col. Lomas Estrella",19.32,-99.09,22786-224844,Patio Lomas Estrella
DIF,90,Ciudad de Mexico,3230,"Av. Insurgentes Sur n.1458, Col., Local 2, Actipan District",19.37,-99.18,20233-204145,Torre Origami
DIF,91,Ciudad de Mexico,53398,"Blvd. Adolfo Lopez Mateos, Esquina Rio San Joaquin",19.39,-99.19,23596-224846,Parque Toreo
DIF,92,Ciudad de Mexico,5340,Av. Tamaulipas No. 3000,19.36,-99.28,30770-101701,Superama Santa Fe
